,RawScore,ScoreAfterProp
TBX18,0.0259219792871913,0.010434613548356907
TTC3,0.0191356342938376,0.010054690527915067
PIGT,0.0099785208520081,0.007040362401437355
ASTN2,0.0452601638707182,0.014321016614009719
AP5M1,0.0062388644285512,0.01008408617746673
FAT3,0.1525693434926567,0.0629971208239868
IRF2BPL,0.0064033004723715,0.006102506324007127
PARP11,0.0059341827660588,0.0023486266504649835
HRH1,0.0144380369828636,0.00854124730140943
UNC13A,0.0368494190880185,0.01791725398248705
PAICS,0.0023322760256843,0.010932688715276733
SIK2,0.0131119198421729,0.006948730375415809
HIATL1,0.005031939667074,0.001644584809454922
DAAM1,0.0175653981549395,0.026911104081400336
CDH1,0.0430908543838898,0.05462049654403362
MFSD8,0.0087860244683249,0.006672167869936032
TNFRSF25,0.0068011502236252,0.005073575823304637
GPR112,0.0847000345085609,0.02870869157633172
MAK,0.0079182416252819,0.005504721970141892
FRMPD4,0.0404609293271384,0.013267339943414762
PGAM2,0.0036195921486262,0.005844616171809138
FAM159A,0.0070844724770354,0.0023486928571629043
CCDC7,0.0139533123706648,0.0047761244799632615
GABRR2,0.0075434221542108,0.009698890621367435
SIPA1L2,0.0449735154863802,0.017643906392442184
NSMCE1,0.0054960368805555,0.010553126552100117
DNAJA1,0.0028430035008384,0.020287863977535542
KLHL4,0.0336469161234493,0.011961529484333655
KIAA0195,0.0194734291113367,0.006503244406298725
COL5A2,0.0455374618264945,0.026530430585949637
NPY1R,0.0174098051467769,0.00903756304278458
MAP4K3,0.0176478916090227,0.00627278987524669
MACF1,0.0882224599188139,0.04599312147519559
NUP43,0.0060554036202767,0.025122815408098183
BTNL3,0.0112053920606261,0.004055025553431105
CAND2,0.0167577611342249,0.008306260645211134
USP11,0.0177162728899602,0.01784286104349557
FBXO28,0.0067449540106732,0.0054021478261967685
ZNF654,0.0096253586329017,0.003176474838201232
WNT10A,0.0082560772439023,0.006657742963272974
DSG4,0.0342427357869478,0.017530446385676746
PPP3CC,0.0051198620403961,0.029727262854137734
MPP5,0.0077162687885672,0.020425386511381753
ARHGEF7,0.0179307158663448,0.03363222671956923
SUGP1,0.0135030413061108,0.007664941579936349
PLCB3,0.0172193557513721,0.024926101003138003
ANKRD55,0.0114147880554883,0.014969717397735824
RPGRIP1,0.0204172870284242,0.008309751279934365
MAVS,0.0117196338412889,0.018565342289991255
HSD17B14,0.0037895977896073,0.008898623852639388
TAL2,0.0021912787750271,0.0012770869261702735
C17orf47,0.0129684317594061,0.00411368278553394
DOCK4,0.041186283724687,0.05228644360952414
BLM,0.0243915112671897,0.03218112411719724
BRCA2,0.0551141591496652,0.044777989553067166
ATP2B2,0.0405608318334425,0.03149995286649841
OR6C1,0.01109886577206,0.009497806695380577
FOXR2,0.0117312850305062,0.006505956207594803
SETD2,0.0606050238712422,0.03201234909775901
ZNF503,0.0062890418002058,0.003141057651195388
PARD3,0.0279978303064005,0.031352443651418725
TDRD3,0.0136279936130941,0.012942912775763645
ZFYVE16,0.0161090737563519,0.0075664550448359714
