,RawScore,MutRate,ScoreAfterNP,Predicted by MutNet,Predicted by MutRate,Predicted by ActiveDriver,Predicted by MutSigCV,Predicted by MuSiC,Predicted by OncodriveCLUST,Predicted by OncodriveFM,Predicted by OncodriveFML,Predicted by TUSON,Predicted by 2020+,Predicted by EMOGI,Predicted by HotNet,Predicted by OMEN,Collect by Cancer Gene Cosmic,Collect by OncoKB,Collect by Cancer Gene (q<0.25),Collect by KEGG cancer pathway,Community
SOS1,0.0264259867520728,0.011369378473976757,0.06310275983280203,True,True,False,False,True,False,True,False,False,True,True,True,False,False,True,False,True,3
FLNB,0.04283424176408489,0.019454269833249115,0.030948909555688887,True,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,3
KDR,0.0484476404948864,0.021854471955533097,0.04501696936073545,True,True,False,False,True,False,False,False,False,False,True,False,False,True,True,False,False,3
ITSN1,0.02403199743076481,0.010864072764022232,0.043350391749841684,True,True,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,3
AKAP13,0.04323117904516376,0.019833249115715008,0.02990620819420461,True,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,3
DNMBP,0.02495485290412362,0.011369378473976757,0.028356192333557174,True,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,3
PDGFRB,0.029526495320784125,0.013011622031328956,0.02493170852515014,True,True,False,False,True,False,False,False,False,False,True,True,False,True,True,False,True,3
ERBB2,0.03818514020767762,0.016801414855987868,0.05983707898197602,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,3
IGF1R,0.028215584296404264,0.0123799898938858,0.032765928784566585,True,True,False,False,False,False,False,False,False,False,True,True,False,False,True,False,True,3
SPEN,0.0677796911111136,0.03031834259727135,0.028353430439671312,True,True,False,False,True,False,False,True,False,False,True,True,False,True,True,True,False,3
FLT3,0.04319995910389842,0.018569984840828703,0.02710287445070875,True,True,True,True,True,False,False,False,True,False,False,True,False,True,True,True,True,3
FLT1,0.039235927282546816,0.017559373420919656,0.029233523845576214,True,True,False,False,True,False,False,False,False,False,True,True,False,False,True,False,False,3
NRAS,0.05695182158441104,0.02438100050530571,0.11276673525963228,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,3
PLXNA2,0.029664634268274988,0.013390601313794845,0.026123247215943925,True,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,3
ARHGAP35,0.03901784584401561,0.01654876200101061,0.029068739436383106,True,True,False,False,True,False,True,True,True,True,False,True,False,True,True,True,False,3
SRGAP1,0.023876652301366843,0.0107377463365336,0.023093339284115874,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,3
DOCK7,0.030339344812704994,0.013516927741283477,0.0225903241173169,True,True,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,3
TRIO,0.0531224388162832,0.024002021222839814,0.043103464235625305,True,True,False,False,False,False,True,True,False,False,True,True,False,False,False,False,False,3
DCC,0.0731747659719986,0.03309752400202122,0.04283224954395315,True,True,False,False,True,False,True,True,False,False,False,False,False,True,False,False,True,3
MET,0.03151446907449404,0.014022233451238,0.051969274361381115,True,True,True,False,True,False,True,False,False,False,True,False,False,True,True,True,True,3
ALK,0.04715097548342273,0.020591207680646796,0.030469226465828406,True,True,True,False,True,False,False,True,True,True,True,False,False,True,True,False,True,3
EPHA7,0.03946797976697832,0.01793835270338555,0.02490484328283711,True,True,False,False,True,False,True,False,False,False,False,False,False,True,True,False,False,3
IRS1,0.03305794557400542,0.014022233451238,0.03841469881725125,True,True,False,False,True,False,False,False,False,False,True,True,False,False,True,False,False,3
PREX2,0.07392857374512914,0.03347650328448711,0.037439882711549535,True,True,False,False,True,False,True,False,False,False,False,False,False,True,True,True,False,3
KALRN,0.06965949325406233,0.030823648307225875,0.03901730621279378,True,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,3
ARHGEF11,0.027552339076182382,0.01212733703890854,0.027177432528264475,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,3
ERBB4,0.06483344923456172,0.02867609903991915,0.051884311542587234,True,True,True,False,True,False,True,False,False,False,True,True,False,True,True,True,False,3
